region,AGS,tooltip
Dahmker,01053021,"In Allensbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 5.6 erhöht."
Dalldorf,01053022,"In Allersberg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.8 auf 7.6 erhöht."
Dassendorf,01053023,"In Allershausen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 7.6 erhöht."
Düchelsdorf,01053024,"In Alleshausen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 5.2 erhöht."
Duvensee,01053025,"In Alling hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 7.8 erhöht."
Einhaus,01053026,"In Allmannshofen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 6.4 erhöht."
Elmenhorst,01053027,"In Allmannsweiler hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 5.2 erhöht."
Escheburg,01053028,"In Allmendingen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 4.6 erhöht."
Fitzen,01053029,"In Allmersbach im Tal hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.2 auf 7.6 erhöht."
Fredeburg,01053030,"In Allstedt hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 6.4 erhöht."
Fuhlenhagen,01053031,"In Almdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.6 auf 1.4 verringert."
"Geesthacht, Stadt",01053032,"In Almersbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 4.8 erhöht."
Giesensdorf,01053033,"In Alpen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.0 auf 7.4 erhöht."
Göldenitz,01053034,"In Alpenrod hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 3.4 erhöht."
Göttin,01053035,"In Alperstedt hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 6.8 erhöht."
Grabau,01053036,"In Alpirsbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 4.6 erhöht."
Grambek,01053037,"In Alsbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 4.2 erhöht."
Grinau,01053038,"In Alsbach-Hähnlein hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.6 auf 10.0 erhöht."
Groß Boden,01053039,"In Alsdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.4 auf 6.8 erhöht."
Groß Disnack,01053040,"In Alsdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 3.4 erhöht."
Groß Grönau,01053041,"In Alsdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 4.4 erhöht."
Groß Pampau,01053042,"In Alsenz hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 6.6 erhöht."
Groß Sarau,01053043,"In Alsfeld hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 4.4 erhöht."
Groß Schenkenberg,01053044,"In Alsheim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.8 auf 10.0 erhöht."
Grove,01053045,"In Alsleben (Saale) hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.4 auf 7.4 erhöht."
Gudow,01053046,"In Alt Bennebek hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.4 auf 1.8 verringert."
Gülzow,01053047,"In Alt Bukow hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.0 auf 3.2 verringert."
Güster,01053048,"In Alt Duvenstedt hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.6 auf 1.8 verringert."
Hamfelde,01053049,"In Alt Krenzlin hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.8 auf 6.0 erhöht."
Hamwarde,01053050,"In Alt Meteln hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.0 auf 3.4 verringert."
Harmsdorf,01053051,"In Alt Schwerin hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.6 auf 4.4 verringert."
Havekost,01053052,"In Alt Sührkow hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 6.0 auf 4.2 verringert."
Hohenhorn,01053053,"In Alt Tellin hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.4 auf 4.4 verringert."
Hollenbek,01053054,"In Alt Tucheband hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 6.2 auf 9.8 erhöht."
Hornbek,01053056,"In Alt Zachun hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.4 auf 4.6 verringert."
Horst,01053057,"In Alt Zauche-Wußwerk hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 9.0 auf 10.2 erhöht."
Juliusburg,01053058,"In Alt-Mölln hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.0 auf 4.8 verringert."
Kankelau,01053059,"In Altbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 8.8 erhöht."
Kasseburg,01053060,"In Altdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.0 auf 10.2 erhöht."
Kastorf,01053061,"In Altdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 6.6 erhöht."
Kittlitz,01053062,"In Altdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 7.4 erhöht."
Klein Pampau,01053064,"In Altdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 7.2 erhöht."
